Part_ID,Part_Name,Part_Category,Brand,Truck_Model,Price,Stock_Quantity,Supplier,Warehouse_Location,Delivery_Time_Days,Warranty_Period_Months,Order_Date,Monthly_Sales,Revenue,time_index
P0002,Brake Pad Set,Brakes,Bosch,DAF XF,286.69,558,Transline Distributors,Kyiv,15,24,2023-01-07,388,111235.72,0
P0194,Torsion Bar,Suspension,MANN,DAF XF,1188.68,60,NordicAuto GmbH,Hamburg,3,6,2023-01-07,211,250811.48,1
P0215,Brake Drum,Brakes,MANN,Iveco Stralis,739.09,576,Transline Distributors,Brno,14,6,2023-01-11,50,36954.5,2
P0088,Shift Fork,Transmission,ZF,Renault T,1994.79,406,NordicAuto GmbH,Brno,3,36,2023-01-15,135,269296.65,3
P0122,Output Shaft Seal,Transmission,Scania,Renault T,854.77,130,NordicAuto GmbH,Warsaw,14,24,2023-01-19,185,158132.45,4
P0067,Fog Light,Lighting,Michelin,DAF XF,206.65,40,Transline Distributors,Brno,20,24,2023-01-27,46,9505.9,5
P0080,Brake Drum,Brakes,Hella,Volvo FH,996.15,100,EuroTruck Supply,Milan,6,24,2023-01-30,23,22911.45,6
P0001,Fuel Pump - Eco,Fuel System,ZF,Volvo FH,203.7,558,EuroTruck Supply,Budapest,14,6,2023-01-31,47,9573.9,7
P0015,Transmission Filter - Eco,Transmission,Bosch,DAF XF,1614.11,7,EuroTruck Supply,Hamburg,8,6,2023-02-02,440,710208.4,8
P0139,Wiring Harness,Electrical,Bosch,MAN TGX,670.85,525,Atlas Parts,Hamburg,5,36,2023-02-05,64,42934.4,9
P0031,Torsion Bar,Suspension,Mercedes,Mercedes Actros,968.62,254,CentralFleet Co,Prague,4,36,2023-02-09,439,425224.18,10
P0059,Thermostat - HD,Cooling,DAF,Volvo FH,589.93,309,GlobalParts Ltd,Lviv,5,24,2023-02-16,498,293785.14,11
P0090,Accumulator,Hydraulics,Volvo,Volvo FH,1575.51,475,CentralFleet Co,Rotterdam,4,12,2023-02-16,484,762546.84,12
P0178,Piston Ring Set,Engine,Mercedes,Scania R,2553.62,405,CentralFleet Co,Hamburg,7,6,2023-02-16,216,551581.92,13
P0018,Brake Pad Set,Brakes,MANN,Mercedes Actros,228.35,473,PrimeTruck Traders,Warsaw,15,6,2023-02-21,333,76040.55,14
P0040,DPF (cleaning unit) - Heavy-Duty,Exhaust,MAN,MAN TGX,2450.79,109,Transline Distributors,Kyiv,6,36,2023-02-21,285,698475.15,15
P0096,Shock Absorber,Suspension,Bosch,Volvo FH,56.75,243,BlueLine Logistics,Hamburg,6,24,2023-02-23,64,3632.0,16
P0128,Control Arm,Suspension,Michelin,Volvo FH,1025.3,227,Continental Supply,Brno,1,36,2023-02-24,202,207110.6,17
P0183,Fuel Injector,Engine,MAN,Renault T,246.47,45,Transline Distributors,Milan,8,12,2023-02-27,71,17499.37,18
P0043,Indicator Lamp - Eco,Lighting,Valeo,DAF XF,41.43,154,PrimeTruck Traders,Rotterdam,5,12,2023-03-07,212,8783.16,19
P0007,Fuel Pressure Regulator,Fuel System,DAF,Renault T,1013.28,234,GlobalParts Ltd,Brno,13,24,2023-03-09,108,109434.24,20
P0111,Battery,Electrical,Bosch,Mercedes Actros,705.81,389,NordicAuto GmbH,Kyiv,17,24,2023-03-15,203,143279.43,21
P0024,Fuel Line,Fuel System,Iveco,Renault T,1217.74,9,Continental Supply,Budapest,19,6,2023-03-17,275,334878.5,22
P0156,Wiring Harness,Electrical,Knorr-Bremse,Scania R,55.04,52,NordicAuto GmbH,Kyiv,12,24,2023-03-17,197,10842.88,23
P0142,Radiator - Eco,Cooling,MAN,Mercedes Actros,353.27,292,Continental Supply,Kyiv,4,12,2023-03-17,231,81605.37,24
P0061,Oil Pan,Engine,Continental,MAN TGX,3181.32,75,GlobalParts Ltd,Prague,5,24,2023-03-29,127,404027.64,25
P0055,Brake Caliper,Brakes,Valeo,Scania R,1057.58,282,NordicAuto GmbH,Hamburg,17,12,2023-03-29,123,130082.34,26
P0102,DPF (cleaning unit),Exhaust,Brembo,Scania R,909.28,383,Atlas Parts,Milan,3,6,2023-03-29,47,42736.16,27
P0038,Accumulator,Hydraulics,Continental,Mercedes Actros,1153.13,484,Atlas Parts,Warsaw,10,24,2023-04-06,419,483161.47,28
P0100,Accumulator,Hydraulics,Valeo,Mercedes Actros,2387.43,543,CentralFleet Co,Milan,17,36,2023-04-12,406,969296.58,29
P0077,DPF (cleaning unit),Exhaust,Scania,Renault T,1480.93,155,Continental Supply,Hamburg,5,24,2023-04-13,447,661975.71,30
P0182,Catalytic Converter - Pro,Exhaust,Iveco,Iveco Stralis,1476.2,429,GlobalParts Ltd,Kyiv,7,6,2023-04-14,304,448764.8,31
P0123,Alternator,Electrical,Valeo,Renault T,445.35,231,Atlas Parts,Prague,3,24,2023-04-14,259,115345.65,32
P0214,Thermostat,Cooling,DAF,Iveco Stralis,650.72,37,BlueLine Logistics,Lviv,20,6,2023-04-22,393,255732.96,33
P0017,Input Shaft,Transmission,Knorr-Bremse,Mercedes Actros,2166.4,55,EuroTruck Supply,Hamburg,13,24,2023-04-22,127,275132.8,34
P0130,Bushing Kit,Suspension,Continental,DAF XF,36.86,262,PrimeTruck Traders,Prague,18,36,2023-04-24,397,14633.42,35
P0109,Fuel Pump - Heavy-Duty,Fuel System,Knorr-Bremse,Mercedes Actros,1018.48,220,NordicAuto GmbH,Warsaw,12,36,2023-04-24,145,147679.6,36
P0010,Cabin Filter,Filters,Continental,DAF XF,47.19,11,EuroTruck Supply,Lviv,9,24,2023-04-25,150,7078.5,37
P0028,Timing Belt,Engine,Scania,Scania R,632.61,452,NordicAuto GmbH,Rotterdam,18,6,2023-04-25,38,24039.18,38
P0070,Wiring Harness,Electrical,DAF,Renault T,501.84,465,EuroTruck Supply,Brno,9,24,2023-04-29,496,248912.64,39
P0093,Parking Brake Cable,Brakes,Scania,Scania R,657.91,367,GlobalParts Ltd,Rotterdam,9,12,2023-05-06,485,319086.35,40
P0148,Control Arm,Suspension,ZF,Scania R,1286.26,290,EuroTruck Supply,Gdansk,7,24,2023-05-09,320,411603.2,41
P0099,Fuel Pump,Fuel System,Iveco,Mercedes Actros,114.07,82,BlueLine Logistics,Budapest,5,6,2023-05-10,140,15969.8,42
P0023,Cylinder Head - Heavy-Duty,Engine,Volvo,DAF XF,2921.59,209,BlueLine Logistics,Kyiv,9,36,2023-05-15,343,1002105.37,43
